candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hint_top3,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_band_top3,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,note
hold,JIL SANDER,RAGTAG,JIL SANDER NAVY(ジルサンダーネイビー)トートバッグ 黒 サイズ:-/2200662968016,9200,34600,3.7609,False,https://www.ragtag.jp/brand/41198/item/4119826M0003,available,27980,35496,5,3,49500,4950,750,バッグ,True,,,True,False,False,True,navy/ネイビー/黒,blue,black,"blue,black",blue/black,blue-navy,black,"blue-navy,black",unknown,unknown,unknown,unknown,"unknown,unknown,unknown",unknown,unknown,unknown,"unknown,unknown,unknown",False,neutral,"sander,jil",True,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=5) / 売れ筋上位色帯=unknown,unknown,unknown / 商品配色=blue-navy,black / 人気色不一致だが落ち着いた定番配色"
honmei,WANDLER,Yahooショッピング,WANDLER ショルダーバッグ/レザー/BRW/無地,20460,24600,1.2023,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2344900631208.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32500,35179,11,3,50900,5090,750,バッグ,True,,,True,True,False,True,brw,brown,,brown,brown,brown,,brown,brown,brown,black,unknown,"brown,black,unknown",brown,black,unknown,"brown,black,unknown",True,strong,"wandler,ショルダーバッグ,レザー,brown",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=brown / 売れ筋1位色と一致"
hold,WANDLER,Yahooショッピング,WANDLER ハンドバッグ/レザー/RED/無地,7260,23130,3.186,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2341825141157.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32500,35179,11,3,34600,3460,750,バッグ,True,,,False,True,False,True,red,red,,red,red,red-pink,,red-pink,brown,brown,beige,unknown,"brown,beige,unknown",brown,white-beige,unknown,"brown,white-beige,unknown",False,flashy,"wandler,レザー,ハンドバッグ",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,white-beige,unknown / 商品配色=red-pink / 人気色不一致で派手色主体"
hold,JIL SANDER,Rehello by BOOKOFF,Jil sander ショルダーバッグ スマートフォンケース レディース ジルサンダー,22000,21800,0.9909,False,https://rehello.jp/products/8701113480?_pos=7&_sid=5c2369473&_ss=r,available,27980,35496,5,3,49500,4950,750,バッグ,True,,,True,False,False,True,,unknown,,,unknown,unknown,,,unknown,unknown,unknown,unknown,"unknown,unknown,unknown",unknown,unknown,unknown,"unknown,unknown,unknown",False,unknown,"sander,jil,ショルダーバッグ,ジルサンダー",True,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=5) / 売れ筋上位色帯=unknown,unknown,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,TOD'S,Yahooショッピング,トッズ TOD'S トートバッグ ショルダー 2WAY ロゴ ベージュ /AE ■GY14 レディース,3500,20950,5.9857,False,https://store.shopping.yahoo.co.jp/vectorpremium/211-902509260151.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,27000,29780,5,3,28000,2800,750,バッグ,False,,,True,False,False,True,ベージュ,beige,,beige,beige,white-beige,,white-beige,brown,brown,unknown,unknown,"brown,unknown,unknown",brown,unknown,unknown,"brown,unknown,unknown",False,neutral,"tod,トッズ,s",True,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=5) / 売れ筋上位色帯=brown,unknown,unknown / 商品配色=white-beige / 人気色不一致だが落ち着いた定番配色"
hold,JIL SANDER,Rehello by BOOKOFF,JIL SANDER ショルダーバッグ 肩掛け 斜め掛け タングルスモール レディース ジルサンダー,24310,19490,0.8017,False,https://rehello.jp/products/rc_itayu8ryr4y0_tmry?_pos=17&_sid=5c2369473&_ss=r,available,27980,35496,5,3,49500,4950,750,バッグ,True,,,True,False,False,True,,unknown,,,unknown,unknown,,,unknown,unknown,unknown,unknown,"unknown,unknown,unknown",unknown,unknown,unknown,"unknown,unknown,unknown",False,unknown,"sander,jil,ショルダーバッグ,ジルサンダー",True,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=5) / 売れ筋上位色帯=unknown,unknown,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,JIL SANDER,Yahooショッピング,ジルサンダー ショルダーバッグ 肩掛け 斜め掛け タングルスモール レディース JIL SANDER 中古,25080,18720,0.7464,False,https://store.shopping.yahoo.co.jp/hugall/rc-itayu8ryr4y0-zf5a.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,27980,35496,5,3,49500,4950,750,バッグ,True,,,True,False,False,True,,unknown,,,unknown,unknown,,,unknown,unknown,unknown,unknown,"unknown,unknown,unknown",unknown,unknown,unknown,"unknown,unknown,unknown",False,unknown,"sander,jil,ショルダーバッグ,ジルサンダー",True,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=5) / 売れ筋上位色帯=unknown,unknown,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,TOD'S,ベクトルパーク,トッズ TOD'S 68-11 ハンドバッグ ワンショルダー レザー 緑 グリーン ■GY18 /MQ,5800,18650,3.2155,False,https://vector-park.jp/item/165-502602170010/,available,27000,29780,5,3,28000,2800,750,バッグ,False,,,True,True,False,True,緑/グリーン,green,,green,green,green,,green,brown,brown,unknown,unknown,"brown,unknown,unknown",brown,unknown,unknown,"brown,unknown,unknown",False,flashy,"tod,トッズ,レザー,s,ハンドバッグ",True,"類似売り切れ3件ベースで推定 / 要目視確認(mercari_sample_count=5) / 売れ筋上位色帯=brown,unknown,unknown / 商品配色=green / 人気色不一致で派手色主体"
hold,WANDLER,楽天市場,中古 良品 WANDLER ワンドラー エナメル ショルダーバッグ ホワイト レディース Luxs ブランド古着のリュクス,12550,15950,1.2709,False,https://item.rakuten.co.jp/luxs/343584001015/?variantId=343584001015&scid=seo-carousel-search,available,32500,35179,11,3,32500,3250,750,バッグ,True,,,True,False,False,True,ホワイト,white,,white,white,white-beige,,white-beige,brown,brown,black,unknown,"brown,black,unknown",brown,black,unknown,"brown,black,unknown",False,neutral,"wandler,ショルダーバッグ,レディース,ワンドラー",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=white-beige / 人気色不一致だが落ち着いた定番配色"
hold,WANDLER,Yahooショッピング,良品 WANDLER ワンドラー エナメル ショルダーバッグ ホワイト レディース 古着 中古,12550,15950,1.2709,False,https://store.shopping.yahoo.co.jp/kigaeru/343584001015.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,32500,35179,11,3,32500,3250,750,バッグ,True,,,True,False,False,True,ホワイト,white,,white,white,white-beige,,white-beige,brown,brown,black,unknown,"brown,black,unknown",brown,black,unknown,"brown,black,unknown",False,neutral,"wandler,ショルダーバッグ,レディース,ワンドラー",False,"類似売り切れ3件ベースで推定 / 売れ筋上位色帯=brown,black,unknown / 商品配色=white-beige / 人気色不一致だが落ち着いた定番配色"
