candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hint_top3,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_band_top3,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note
honmei,JIMMY CHOO,ベクトルパーク,ジミーチュウ JIMMY CHOO ミュール サンダル バックストラップ 本革 レザー 38 黒 ブラック 24.0cm くつ 靴 シューズ イタリア製,3300,37562,11.3824,False,https://vector-park.jp/item/068-202603120216/,available,24840,28403,10,5,45980,4598,520,バッグ,True,,,True,True,True,True,黒/ブラック,black,,black,black,black,,black,black,black,metallic,unknown,"black,metallic,unknown",black,metallic,unknown,"black,metallic,unknown",True,strong,"jimmy,choo,ジミーチュウ,レザー,mm,black,ブラック,黒",False,4,0.4,1,0.1,1,0.1,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,metallic,unknown / 商品配色=black / 売れ筋1位色と一致"
hold,JIMMY CHOO,Rehello by BOOKOFF,Jimmy Choo ハンドバッグ トートバッグ レディース ジミーチュウ,11440,29192,2.5517,False,https://rehello.jp/products/rc_itwpbnkvpd20_apfk?_pos=3&_sid=0bce32248&_ss=r,available,24840,28403,10,5,45980,4598,750,バッグ,True,,,True,False,True,True,,unknown,,,unknown,unknown,,,black,black,metallic,unknown,"black,metallic,unknown",black,metallic,unknown,"black,metallic,unknown",False,unknown,"jimmy,choo,ジミーチュウ,トートバッグ,mm,レディース",False,4,0.4,1,0.1,1,0.1,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,metallic,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,JIMMY CHOO,RAGTAG,JIMMY CHOO(ジミーチュー)クラッチバッグ 青 サイズ:-/2200655347477,12600,28032,2.2248,False,https://www.ragtag.jp/brand/20149/item/2014926F0008,available,24840,28403,10,5,45980,4598,750,バッグ,True,,,True,False,True,True,青,blue,,blue,blue,blue-navy,,blue-navy,black,black,metallic,unknown,"black,metallic,unknown",black,metallic,unknown,"black,metallic,unknown",False,flashy,"jimmy,choo,mm",False,4,0.4,1,0.1,1,0.1,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,metallic,unknown / 商品配色=blue-navy / 人気色不一致で派手色主体"
honmei,JIMMY CHOO,RAGTAG,JIMMY CHOO(ジミーチュー)トートバッグ 茶 サイズ:-/2200649332014,14800,25832,1.7454,False,https://www.ragtag.jp/brand/20149/item/2014926J0028,available,24840,28403,10,5,45980,4598,750,バッグ,True,,,True,False,True,True,茶,brown,,brown,brown,brown,,brown,black,black,metallic,unknown,"black,metallic,unknown",black,metallic,unknown,"black,metallic,unknown",False,neutral,"jimmy,choo,トートバッグ,mm",False,4,0.4,1,0.1,1,0.1,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,metallic,unknown / 商品配色=brown / 人気色不一致だが落ち着いた定番配色"
hold,JIMMY CHOO,Rehello by BOOKOFF,Jimmy Choo トートバッグ レディース ジミーチュウ,15180,25452,1.6767,False,https://rehello.jp/products/rc_it1urmbawrvw_hdrj?_pos=1&_sid=0bce32248&_ss=r,available,24840,28403,10,5,45980,4598,750,バッグ,True,,,True,False,True,True,,unknown,,,unknown,unknown,,,black,black,metallic,unknown,"black,metallic,unknown",black,metallic,unknown,"black,metallic,unknown",False,unknown,"jimmy,choo,ジミーチュウ,トートバッグ,mm,レディース",False,4,0.4,1,0.1,1,0.1,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,metallic,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,JIMMY CHOO,Rehello by BOOKOFF,Jimmy Choo トートバッグ ショルダーバッグ 肩掛け ピムリコトートバッグ スタースタッズ レディース ジミーチュウ,22330,18302,0.8196,False,https://rehello.jp/products/rc_itbd4wjvyhgs_i9fk?_pos=18&_sid=0bce32248&_ss=r,available,24840,28403,10,5,45980,4598,750,バッグ,True,,,True,False,True,True,,unknown,,,unknown,unknown,,,black,black,metallic,unknown,"black,metallic,unknown",black,metallic,unknown,"black,metallic,unknown",False,unknown,"jimmy,choo,トートバッグ,レディース,mm,ジミーチュウ,ショルダーバッグ",False,4,0.4,1,0.1,1,0.1,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,metallic,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,JIMMY CHOO,KOMEHYO,JIMMY CHOO ジミーチュウ ZIPPOUCHANR バッグ,24000,16632,0.693,False,https://komehyo.jp/product/270-004-027-2686/,available,24840,28403,10,5,45980,4598,750,バッグ,True,,,True,False,True,True,,unknown,,,unknown,unknown,,,black,black,metallic,unknown,"black,metallic,unknown",black,metallic,unknown,"black,metallic,unknown",False,unknown,"jimmy,choo,ジミーチュウ,mm,バッグ",False,4,0.4,1,0.1,1,0.1,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,metallic,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,JIMMY CHOO,Rehello by BOOKOFF,JIMMY CHOO チェーンウォレット ショルダー グリッターゴールド レディース ジミーチュウ,26400,14772,0.5595,False,https://rehello.jp/products/8010116687?_pos=5&_sid=0bce32248&_ss=r,available,24840,28403,10,5,45980,4598,210,バッグ,True,,,True,False,True,True,ゴールド,metallic,,metallic,metallic,metallic,,metallic,black,black,metallic,unknown,"black,metallic,unknown",black,metallic,unknown,"black,metallic,unknown",True,near,"jimmy,choo,ジミーチュウ,レディース,mm,metallic",False,4,0.4,1,0.1,1,0.1,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,metallic,unknown / 商品配色=metallic / 売れ筋上位色(top2/3)と一致"
hold,JIMMY CHOO,RAGTAG,JIMMY CHOO(ジミーチュー)ショルダーバッグ グレー サイズ:-/2200651184649,26000,14632,0.5628,False,https://www.ragtag.jp/brand/20149/item/2014926F0007,available,24840,28403,10,5,45980,4598,750,バッグ,True,,,True,False,True,True,,unknown,,,unknown,unknown,,,black,black,metallic,unknown,"black,metallic,unknown",black,metallic,unknown,"black,metallic,unknown",False,unknown,"jimmy,choo,ショルダーバッグ,mm",False,4,0.4,1,0.1,1,0.1,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,metallic,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,JIMMY CHOO,RAGTAG,JIMMY CHOO(ジミーチュー)ショルダーバッグ ピンク サイズ:-/2200648896067,28400,12232,0.4307,False,https://www.ragtag.jp/brand/20149/item/2014926J0027,available,24840,28403,10,5,45980,4598,750,バッグ,True,,,True,False,True,True,ピンク,pink,,pink,pink,red-pink,,red-pink,black,black,metallic,unknown,"black,metallic,unknown",black,metallic,unknown,"black,metallic,unknown",False,flashy,"jimmy,choo,ショルダーバッグ,mm",False,4,0.4,1,0.1,1,0.1,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,metallic,unknown / 商品配色=red-pink / 人気色不一致で派手色主体"
hold,JIMMY CHOO,KOMEHYO,JIMMY CHOO ジミーチュウ デレク DEREKLXA バッグ,30000,10632,0.3544,False,https://komehyo.jp/product/260-007-911-6800/,available,24840,28403,10,5,45980,4598,750,バッグ,True,,,True,False,True,True,,unknown,,,unknown,unknown,,,black,black,metallic,unknown,"black,metallic,unknown",black,metallic,unknown,"black,metallic,unknown",False,unknown,"jimmy,choo,ジミーチュウ,mm,バッグ",False,4,0.4,1,0.1,1,0.1,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,metallic,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
