candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,sell_speed,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note,condition_rank,danger_word
hold,BONAVENTURA,ベクトルパーク,ボナベンチュラ BONAVENTURA ミニ トートバッグ キャンバス ロゴ ブラウン /MI,1700,26395,15.5265,False,https://vector-park.jp/item/081-102510200089/,available,11800,19888,9,4,32050,3205,750,バッグ,True,,,True,False,True,True,True,ブラウン,brown,,brown,brown,brown,,brown,beige,beige,black,"beige,black,unknown",white-beige,black,"white-beige,black,unknown",False,neutral,"bonaventura,ボナベンチュラ,ミニ",False,medium,4,0.4444,1,0.1111,1,0.1111,"類似売り切れ4件ベースで推定 / 売れ筋上位色帯=white-beige,black,unknown / 商品配色=brown / 人気色不一致だが落ち着いた定番配色",,
hold,BONAVENTURA,RAGTAG,BONAVENTURA(ボナベンチュラ)トートバッグ グレー サイズ:-/2200644631044,2700,25395,9.4056,False,https://www.ragtag.jp/brand/98877/item/9887726J0003,available,11800,19888,9,4,32050,3205,750,バッグ,True,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,beige,beige,black,"beige,black,unknown",white-beige,black,"white-beige,black,unknown",False,unknown,"bonaventura,ボナベンチュラ",False,medium,4,0.4444,1,0.1111,1,0.1111,"類似売り切れ4件ベースで推定 / 売れ筋上位色帯=white-beige,black,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象",,
hold,BONAVENTURA,ベクトルパーク,ボナベンチュラ BONAVENTURA iPhone15 スマホケース レザーケース バックカバーケース レザー 茶 ブラウン /YT,4100,24225,5.9085,False,https://vector-park.jp/item/081-102511040394/,available,11800,19888,9,4,32050,3205,520,バッグ,True,,,True,True,False,False,True,茶/ブラウン,brown,,brown,brown,brown,,brown,beige,beige,black,"beige,black,unknown",white-beige,black,"white-beige,black,unknown",False,neutral,"bonaventura,ボナベンチュラ,レザー",False,medium,4,0.4444,1,0.1111,1,0.1111,"類似売り切れ4件ベースで推定 / 売れ筋上位色帯=white-beige,black,unknown / 商品配色=brown / 人気色不一致だが落ち着いた定番配色",,
hold,BONAVENTURA,ベクトルパーク,ボナベンチュラ BONAVENTURA イージー キャンバス トートバッグ ミニ ハンドバッグ 茶色 ブラウン /SR,4300,23795,5.5337,False,https://vector-park.jp/item/170-402602270230/,available,11800,19888,9,4,32050,3205,750,バッグ,True,,,True,False,True,True,True,茶/ブラウン,brown,,brown,brown,brown,,brown,beige,beige,black,"beige,black,unknown",white-beige,black,"white-beige,black,unknown",False,neutral,"bonaventura,ボナベンチュラ,ミニ",False,medium,4,0.4444,1,0.1111,1,0.1111,"類似売り切れ4件ベースで推定 / 売れ筋上位色帯=white-beige,black,unknown / 商品配色=brown / 人気色不一致だが落ち着いた定番配色",,
hold,BONAVENTURA,ベクトルパーク,ボナベンチュラ BONAVENTURA バックカバーケース スマホ アイフォン シュリンクレザー iPhone 15 Pro ピンク /SS ■OS,4800,23525,4.901,False,https://vector-park.jp/item/170-802511280058/,available,11800,19888,9,4,32050,3205,520,バッグ,True,,,True,True,False,False,True,ピンク,pink,,pink,pink,red-pink,,red-pink,beige,beige,black,"beige,black,unknown",white-beige,black,"white-beige,black,unknown",False,flashy,"bonaventura,シュリンクレザー,レザー,ボナベンチュラ",False,medium,4,0.4444,1,0.1111,1,0.1111,"類似売り切れ4件ベースで推定 / 売れ筋上位色帯=white-beige,black,unknown / 商品配色=red-pink / 人気色不一致で派手色主体",,
hold,BONAVENTURA,Yahooショッピング,BONAVENTURA ハンドバッグ/コットン/GRY/無地,5060,23035,4.5524,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2340814512701.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,11800,19888,9,4,32050,3205,750,バッグ,True,,,False,False,False,False,True,,unknown,,,unknown,unknown,,,beige,beige,black,"beige,black,unknown",white-beige,black,"white-beige,black,unknown",False,unknown,bonaventura,False,medium,4,0.4444,1,0.1111,1,0.1111,"類似売り切れ4件ベースで推定 / 売れ筋上位色帯=white-beige,black,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象",,
hold,IACUCCI,ベクトルパーク,イアクッチ IACUCCI ハンドバッグ ショルダーバッグ 2WAY レザー 紫 パープル /YM,2800,21632,7.7257,False,https://vector-park.jp/item/081-102509290266/,available,20140,22397,26,5,27980,2798,750,バッグ,True,,Sorbetto,True,True,False,False,True,紫/パープル,purple,,purple,purple,purple,,purple,beige,beige,blue,"beige,blue,unknown",white-beige,blue-navy,"white-beige,blue-navy,unknown",False,flashy,"iacucci,2way,イアクッチ,ショルダーバッグ,ハンドバッグ,レザー",False,fast,4,0.1538,4,0.1538,4,0.1538,"類似売り切れ5件ベースで推定 / 売り切れ候補モデル=Sorbetto / 売れ筋上位色帯=white-beige,blue-navy,unknown / 商品配色=purple / 人気色不一致で派手色主体",,
hold,BONAVENTURA,楽天市場,公式 4サイズから選べる イージー キャンバス トート バッグ BONAVENTURA ボナベンチュラ BCTC1 BCTC2 BCTC3 BCTC4,6600,21495,3.2568,False,https://item.rakuten.co.jp/bonaventura-shop/10000161/?scid=seo-carousel-search,available,11800,19888,9,4,32050,3205,750,バッグ,True,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,beige,beige,black,"beige,black,unknown",white-beige,black,"white-beige,black,unknown",False,unknown,"bonaventura,ボナベンチュラ",False,medium,4,0.4444,1,0.1111,1,0.1111,"類似売り切れ4件ベースで推定 / 売れ筋上位色帯=white-beige,black,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象",,
honmei,BONAVENTURA,楽天市場,BONAVENTURA イージー キャンバス トートバッグ (BB ミニ) ボナベンチュラ バッグ トートバッグ グレー ベージュ パープル ピンク ブラック 送料無料,6600,21495,3.2568,False,https://item.rakuten.co.jp/stylife/jf7309/?scid=seo-carousel-search,available,11800,19888,9,4,32050,3205,750,バッグ,True,,,True,False,True,True,True,ベージュ/パープル/ピンク/ブラック,beige,"purple,pink,black","beige,purple,pink,black",beige/purple/pink/black,white-beige,"purple,red-pink,black","white-beige,purple,red-pink,black",beige,beige,black,"beige,black,unknown",white-beige,black,"white-beige,black,unknown",True,strong,"bonaventura,beige,ベージュ,ミニ,black,ブラック,ボナベンチュラ",False,medium,4,0.4444,1,0.1111,1,0.1111,"類似売り切れ4件ベースで推定 / 売れ筋上位色帯=white-beige,black,unknown / 商品配色=white-beige,purple,red-pink,black / 売れ筋1位色と一致",,
honmei,Pierre Hardy,KOMEHYO,PIERRE HARDY バッグ,13000,19370,1.49,False,https://komehyo.jp/product/241-004-000-6067/,available,33800,35407,11,5,36800,3680,750,バッグ,True,,,True,False,False,False,True,rd,red,,red,red,red-pink,,red-pink,red,red,black,"red,black,white",red-pink,black,"red-pink,black,white-beige",True,strong,"hardy,pierre,red,バッグ",False,medium,11,1.0,8,0.7273,6,0.5455,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=red-pink,black,white-beige / 商品配色=red-pink / 売れ筋1位色と一致",,
