candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,sell_speed,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note,condition_rank,danger_word
reject,Pierre Hardy,RAGTAG,PIERRE HARDY(ピエールアルディ)クラッチバッグ 紺 サイズ:-/2200377966048,9200,33250,3.6141,False,https://www.ragtag.jp/brand/20038/item/2003823O0003,available,36800,40091,15,5,48000,4800,750,バッグ,False,,,True,False,False,False,True,rd,red,,red,red,red-pink,,red-pink,red,red,black,"red,black,white",red-pink,black,"red-pink,black,white-beige",True,strong,"pierre,ピエールアルディ,red,hardy",False,medium,13,0.8667,5,0.3333,4,0.2667,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=red-pink,black,white-beige / 商品配色=red-pink / 売れ筋1位色と一致",,
reject,Pierre Hardy,RAGTAG,PIERRE HARDY(ピエールアルディ)クラッチバッグ 緑 サイズ:-/2200521954129,12600,29850,2.369,False,https://www.ragtag.jp/brand/20038/item/2003824D0010,available,36800,40091,15,5,48000,4800,750,バッグ,False,,,True,False,False,False,True,rd/緑,red,green,"red,green",red/green,red-pink,green,"red-pink,green",red,red,black,"red,black,white",red-pink,black,"red-pink,black,white-beige",True,strong,"pierre,ピエールアルディ,red,hardy",False,medium,13,0.8667,5,0.3333,4,0.2667,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=red-pink,black,white-beige / 商品配色=red-pink,green / 売れ筋1位色と一致",,
review,Pierre Hardy,Yahooショッピング,新品同様 PIERRE HARDY ピエールアルディ セカンドバッグ クラッチバッグ ブラック レディース 古着 中古,5620,26750,4.7598,False,https://store.shopping.yahoo.co.jp/kigaeru/448623009004.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,36800,40091,15,5,36800,3680,750,バッグ,False,,,True,False,False,False,True,rd/ブラック,red,black,"red,black",red/black,red-pink,black,"red-pink,black",red,red,black,"red,black,white",red-pink,black,"red-pink,black,white-beige",True,strong,"pierre,ピエールアルディ,レディース,red,hardy,black,ブラック",False,medium,13,0.8667,5,0.3333,4,0.2667,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=red-pink,black,white-beige / 商品配色=red-pink,black / 売れ筋1位色と一致",,
hold,IACUCCI,ベクトルパーク,イアクッチ IACUCCI ハンドバッグ ショルダーバッグ 2WAY レザー 紫 パープル /YM,2700,21732,8.0489,False,https://vector-park.jp/item/081-102509290266/,available,25000,25540,28,5,27980,2798,750,バッグ,False,,Sorbetto,True,True,False,False,True,紫/パープル,purple,,purple,purple,purple,,purple,black,black,beige,"black,beige,unknown",black,white-beige,"black,white-beige,unknown",False,flashy,"2way,イアクッチ,ショルダーバッグ,ハンドバッグ,レザー",False,fast,6,0.2143,3,0.1071,2,0.0714,"類似売り切れ5件ベースで推定 / 売り切れ候補モデル=Sorbetto / 売れ筋上位色帯=black,white-beige,unknown / 商品配色=purple / 人気色不一致で派手色主体",,
review,Pierre Hardy,KOMEHYO,PIERRE HARDY バッグ,13000,19370,1.49,False,https://komehyo.jp/product/241-004-000-6067/,available,36800,40091,15,5,36800,3680,750,バッグ,False,,,True,False,False,False,True,rd,red,,red,red,red-pink,,red-pink,red,red,black,"red,black,white",red-pink,black,"red-pink,black,white-beige",True,strong,"pierre,red,hardy,バッグ",False,medium,13,0.8667,5,0.3333,4,0.2667,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=red-pink,black,white-beige / 商品配色=red-pink / 売れ筋1位色と一致",,
reject,Pierre Hardy,ベクトルパーク,ピエールアルディ PIERRE HARDY ハラコクラッチバッグ セカンドバッグ 黒 ブラック アイボリー /SR ■SH,6800,18010,2.6485,False,https://vector-park.jp/item/170-402603090295/,available,36800,40091,15,5,28400,2840,750,バッグ,False,,,True,False,False,False,True,rd/黒/ブラック/アイボリー,red,"black,white","red,black,white",red/black/white,red-pink,"black,white-beige","red-pink,black,white-beige",red,red,black,"red,black,white",red-pink,black,"red-pink,black,white-beige",True,strong,"pierre,ピエールアルディ,black,red,white,hardy,ブラック,黒",False,medium,13,0.8667,5,0.3333,4,0.2667,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=red-pink,black,white-beige / 商品配色=red-pink,black,white-beige / 売れ筋1位色と一致",,
review,Pierre Hardy,Rehello by BOOKOFF,PIERRE HARDY 2WAY ハンドバッグ ショルダーバッグ 斜め掛け レディース ピエールアルディ,12210,17460,1.43,False,https://rehello.jp/products/rc_it5w1l9nncni_evdl?variant=43655442301025,available,36800,40091,15,5,33800,3380,750,バッグ,False,,,True,False,False,False,True,rd,red,,red,red,red-pink,,red-pink,red,red,black,"red,black,white",red-pink,black,"red-pink,black,white-beige",True,strong,"pierre,ショルダーバッグ,ピエールアルディ,レディース,red,hardy,斜め掛け",False,medium,13,0.8667,5,0.3333,4,0.2667,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=red-pink,black,white-beige / 商品配色=red-pink / 売れ筋1位色と一致",,
hold,Pierre Hardy,RAGTAG,PIERRE HARDY(ピエールアルディ)ショルダーバッグ 白 サイズ:-/2200575970090,25300,17150,0.6779,False,https://www.ragtag.jp/brand/20038/item/2003825E0003,available,36800,40091,15,5,48000,4800,750,バッグ,False,,,True,False,False,False,True,rd/白,red,white,"red,white",red/white,red-pink,white-beige,"red-pink,white-beige",red,red,black,"red,black,white",red-pink,black,"red-pink,black,white-beige",True,strong,"pierre,ピエールアルディ,red,white,hardy",False,medium,13,0.8667,5,0.3333,4,0.2667,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=red-pink,black,white-beige / 商品配色=red-pink,white-beige / 売れ筋1位色と一致",,
review,Pierre Hardy,Yahooショッピング,ピエールアルディ PIERRE HARDY BAG,13600,16070,1.1816,False,https://store.shopping.yahoo.co.jp/komehyo/241-004-000-6067.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,36800,40091,15,5,33800,3380,750,バッグ,False,,,True,False,False,False,True,rd,red,,red,red,red-pink,,red-pink,red,red,black,"red,black,white",red-pink,black,"red-pink,black,white-beige",True,strong,"pierre,ピエールアルディ,red,bag,hardy",False,medium,13,0.8667,5,0.3333,4,0.2667,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=red-pink,black,white-beige / 商品配色=red-pink / 売れ筋1位色と一致",,
review,Pierre Hardy,ベクトルパーク,ピエールアルディ PIERRE HARDY MAX CUBE BOX カメラバッグ ショルダーバッグ メッセンジャー 総柄 黒 黄色 /TK,14800,14870,1.0047,False,https://vector-park.jp/item/081-102602100079/,available,36800,40091,15,5,33800,3380,750,バッグ,False,,,True,False,False,False,True,rd/黒/黄,red,"black,yellow","red,black,yellow",red/black/yellow,red-pink,"black,yellow","red-pink,black,yellow",red,red,black,"red,black,white",red-pink,black,"red-pink,black,white-beige",True,strong,"cube,pierre,カメラバッグ,ショルダーバッグ,black,red,hardy,ピエールアルディ",False,medium,13,0.8667,5,0.3333,4,0.2667,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=red-pink,black,white-beige / 商品配色=red-pink,black,yellow / 売れ筋1位色と一致",,
